Rho (density): 0.300000
Map width/height: 3500
Seed: 1564
Maximum number of clusters: 400
Data file: map.dat
PGM file: map.pgm
rho = 0.300000, actual density = 0.299965
Number of changes on loop 285 is 8092479
Number of changes on loop 286 is 8090596
Number of changes on loop 287 is 8089692
Number of changes on loop 288 is 8088304
Number of changes on loop 289 is 8087030
Number of changes on loop 290 is 8085733
Number of changes on loop 291 is 8084702
Number of changes on loop 292 is 8083577
Number of changes on loop 293 is 8082320
Number of changes on loop 294 is 8081003
Number of changes on loop 295 is 8079651
Number of changes on loop 296 is 8077344
Number of changes on loop 297 is 8075822
Number of changes on loop 298 is 8075326
Number of changes on loop 299 is 8074077
Number of changes on loop 300 is 8073623
Number of changes on loop 301 is 8073136
Number of changes on loop 302 is 8072470
Number of changes on loop 303 is 8070407
Number of changes on loop 304 is 8068863
Number of changes on loop 305 is 8067366
Number of changes on loop 306 is 8066347
Number of changes on loop 307 is 8065314
Number of changes on loop 308 is 8064784
Number of changes on loop 309 is 8062395
Number of changes on loop 310 is 8060952
Number of changes on loop 311 is 8059452
Number of changes on loop 312 is 8058600
Number of changes on loop 313 is 8057206
Number of changes on loop 314 is 8055182
Number of changes on loop 315 is 8053557
Number of changes on loop 316 is 8052756
Number of changes on loop 317 is 8051139
Number of changes on loop 318 is 8050542
Number of changes on loop 319 is 8049922
Number of changes on loop 320 is 8047499
Number of changes on loop 321 is 8046360
Number of changes on loop 322 is 8045640
Number of changes on loop 323 is 8043773
Number of changes on loop 324 is 8042836
Number of changes on loop 325 is 8042421
Number of changes on loop 326 is 8041693
Number of changes on loop 327 is 8040349
Number of changes on loop 328 is 8039575
Number of changes on loop 329 is 8039005
Number of changes on loop 330 is 8038011
Number of changes on loop 331 is 8037202
Number of changes on loop 332 is 8035798
Number of changes on loop 333 is 8034497
Number of changes on loop 334 is 8033010
Number of changes on loop 335 is 8031013
Number of changes on loop 336 is 8029177
Number of changes on loop 337 is 8027774
Number of changes on loop 338 is 8026022
Number of changes on loop 339 is 8024284
Number of changes on loop 340 is 8022656
Number of changes on loop 341 is 8021546
Number of changes on loop 342 is 8020782
Number of changes on loop 343 is 8020072
Number of changes on loop 344 is 8018810
Number of changes on loop 345 is 8017720
Number of changes on loop 346 is 8016188
Number of changes on loop 347 is 8014585
Number of changes on loop 348 is 8013007
Number of changes on loop 349 is 8012632
Number of changes on loop 350 is 8011353
Number of changes on loop 351 is 8011320
Number of changes on loop 352 is 8009670
Number of changes on loop 353 is 8008588
Number of changes on loop 354 is 8006697
Number of changes on loop 355 is 8005950
Number of changes on loop 356 is 8005669
Number of changes on loop 357 is 8004363
Number of changes on loop 358 is 8002864
Number of changes on loop 359 is 8001964
Number of changes on loop 360 is 8000589
Number of changes on loop 361 is 7999739
Number of changes on loop 362 is 7998657
Number of changes on loop 363 is 7996848
Number of changes on loop 364 is 7995374
Number of changes on loop 365 is 7993334
Number of changes on loop 366 is 7991432
Number of changes on loop 367 is 7990439
Number of changes on loop 368 is 7988586
Number of changes on loop 369 is 7987214
Number of changes on loop 370 is 7987342
Number of changes on loop 371 is 7986157
Number of changes on loop 372 is 7984431
Number of changes on loop 373 is 7983389
Number of changes on loop 374 is 7982381
Number of changes on loop 375 is 7981942
Number of changes on loop 376 is 7980618
Number of changes on loop 377 is 7979965
Number of changes on loop 378 is 7978206
Number of changes on loop 379 is 7976747
Number of changes on loop 380 is 7975247
Number of changes on loop 381 is 7973250
Number of changes on loop 382 is 7971122
Number of changes on loop 383 is 7970190
Number of changes on loop 384 is 7969821
Number of changes on loop 385 is 7968428
Number of changes on loop 386 is 7966505
Number of changes on loop 387 is 7965549
Number of changes on loop 388 is 7963737
Number of changes on loop 389 is 7962157
Number of changes on loop 390 is 7960689
Number of changes on loop 391 is 7959810
Number of changes on loop 392 is 7958869
Number of changes on loop 393 is 7958251
Number of changes on loop 394 is 7957633
Number of changes on loop 395 is 7955857
Number of changes on loop 396 is 7955264
Number of changes on loop 397 is 7953544
Number of changes on loop 398 is 7952958
Number of changes on loop 399 is 7952328
Number of changes on loop 400 is 7951338
Number of changes on loop 401 is 7949824
Number of changes on loop 402 is 7948511
Number of changes on loop 403 is 7946510
Number of changes on loop 404 is 7945110
Number of changes on loop 405 is 7943037
Number of changes on loop 406 is 7941880
Number of changes on loop 407 is 7941052
Number of changes on loop 408 is 7939395
Number of changes on loop 409 is 7938064
Number of changes on loop 410 is 7936575
Number of changes on loop 411 is 7936303
Number of changes on loop 412 is 7934722
Number of changes on loop 413 is 7933417
Number of changes on loop 414 is 7932948
Number of changes on loop 415 is 7931547
Number of changes on loop 416 is 7931068
Number of changes on loop 417 is 7930202
Number of changes on loop 418 is 7929122
Number of changes on loop 419 is 7927733
Number of changes on loop 420 is 7925903
Number of changes on loop 421 is 7924929
Number of changes on loop 422 is 7923171
Number of changes on loop 423 is 7920935
Number of changes on loop 424 is 7919785
Number of changes on loop 425 is 7919155
Number of changes on loop 426 is 7917263
Number of changes on loop 427 is 7916705
Number of changes on loop 428 is 7915508
Number of changes on loop 429 is 7914119
Number of changes on loop 430 is 7912667
Number of changes on loop 431 is 7912043
Number of changes on loop 432 is 7910193
Number of changes on loop 433 is 7908804
Number of changes on loop 434 is 7907318
Number of changes on loop 435 is 7906279
Number of changes on loop 436 is 7905524
Number of changes on loop 437 is 7903698
Number of changes on loop 438 is 7901513
Number of changes on loop 439 is 7900849
Number of changes on loop 440 is 7898474
Number of changes on loop 441 is 7897070
Number of changes on loop 442 is 7896435
Number of changes on loop 443 is 7895189
Number of changes on loop 444 is 7894224
Number of changes on loop 445 is 7893586
Number of changes on loop 446 is 7892426
Number of changes on loop 447 is 7891315
Number of changes on loop 448 is 7889208
Number of changes on loop 449 is 7887958
Number of changes on loop 450 is 7886921
Number of changes on loop 451 is 7885919
Number of changes on loop 452 is 7884175
Number of changes on loop 453 is 7882120
Number of changes on loop 454 is 7880744
Number of changes on loop 455 is 7879536
