Rho (density): 0.300000
Map width/height: 1500
Seed: 1564
Maximum number of clusters: 400
Data file: map.dat
PGM file: map.pgm
rho = 0.300000, actual density = 0.300108
Number of changes on loop 350 is 1360822
Number of changes on loop 351 is 1360192
Number of changes on loop 352 is 1360301
Number of changes on loop 353 is 1359813
Number of changes on loop 354 is 1358540
Number of changes on loop 355 is 1358031
Number of changes on loop 356 is 1357459
Number of changes on loop 357 is 1356810
Number of changes on loop 358 is 1356230
Number of changes on loop 359 is 1355742
Number of changes on loop 360 is 1354693
Number of changes on loop 361 is 1353599
Number of changes on loop 362 is 1353569
Number of changes on loop 363 is 1353087
Number of changes on loop 364 is 1352655
Number of changes on loop 365 is 1351656
Number of changes on loop 366 is 1351088
Number of changes on loop 367 is 1350390
Number of changes on loop 368 is 1349885
Number of changes on loop 369 is 1349459
Number of changes on loop 370 is 1348564
Number of changes on loop 371 is 1347676
Number of changes on loop 372 is 1346799
Number of changes on loop 373 is 1346305
Number of changes on loop 374 is 1346033
Number of changes on loop 375 is 1345378
Number of changes on loop 376 is 1345561
Number of changes on loop 377 is 1343985
Number of changes on loop 378 is 1343143
Number of changes on loop 379 is 1342023
Number of changes on loop 380 is 1341457
Number of changes on loop 381 is 1340810
Number of changes on loop 382 is 1340630
Number of changes on loop 383 is 1340082
Number of changes on loop 384 is 1339424
Number of changes on loop 385 is 1338909
Number of changes on loop 386 is 1338481
Number of changes on loop 387 is 1338465
Number of changes on loop 388 is 1337316
Number of changes on loop 389 is 1336324
Number of changes on loop 390 is 1336115
Number of changes on loop 391 is 1335737
Number of changes on loop 392 is 1335143
Number of changes on loop 393 is 1334152
Number of changes on loop 394 is 1333907
Number of changes on loop 395 is 1333033
Number of changes on loop 396 is 1332613
Number of changes on loop 397 is 1331862
Number of changes on loop 398 is 1331324
Number of changes on loop 399 is 1330772
Number of changes on loop 400 is 1330140
Number of changes on loop 401 is 1329694
Number of changes on loop 402 is 1329395
Number of changes on loop 403 is 1328685
Number of changes on loop 404 is 1328399
Number of changes on loop 405 is 1327150
Number of changes on loop 406 is 1326686
Number of changes on loop 407 is 1325970
Number of changes on loop 408 is 1325481
Number of changes on loop 409 is 1324521
Number of changes on loop 410 is 1323291
Number of changes on loop 411 is 1322643
Number of changes on loop 412 is 1322285
Number of changes on loop 413 is 1322346
Number of changes on loop 414 is 1322218
Number of changes on loop 415 is 1321724
Number of changes on loop 416 is 1320799
Number of changes on loop 417 is 1319723
Number of changes on loop 418 is 1319363
Number of changes on loop 419 is 1318967
Number of changes on loop 420 is 1318390
Number of changes on loop 421 is 1317807
Number of changes on loop 422 is 1316844
Number of changes on loop 423 is 1316265
Number of changes on loop 424 is 1315693
Number of changes on loop 425 is 1314741
Number of changes on loop 426 is 1314262
Number of changes on loop 427 is 1313877
Number of changes on loop 428 is 1313375
Number of changes on loop 429 is 1312133
Number of changes on loop 430 is 1311566
Number of changes on loop 431 is 1311106
Number of changes on loop 432 is 1310786
Number of changes on loop 433 is 1310031
Number of changes on loop 434 is 1310005
Number of changes on loop 435 is 1308979
Number of changes on loop 436 is 1308681
Number of changes on loop 437 is 1307737
Number of changes on loop 438 is 1306457
Number of changes on loop 439 is 1305872
Number of changes on loop 440 is 1305231
Number of changes on loop 441 is 1304560
Number of changes on loop 442 is 1303811
Number of changes on loop 443 is 1302765
Number of changes on loop 444 is 1301876
Number of changes on loop 445 is 1301038
Number of changes on loop 446 is 1300477
Number of changes on loop 447 is 1300451
Number of changes on loop 448 is 1299841
Number of changes on loop 449 is 1299589
Number of changes on loop 450 is 1299054
Number of changes on loop 451 is 1299325
Number of changes on loop 452 is 1299159
Number of changes on loop 453 is 1297870
Number of changes on loop 454 is 1296745
Number of changes on loop 455 is 1296850
Number of changes on loop 456 is 1297247
Number of changes on loop 457 is 1296779
Number of changes on loop 458 is 1295555
Number of changes on loop 459 is 1294550
Number of changes on loop 460 is 1293743
Number of changes on loop 461 is 1293077
Number of changes on loop 462 is 1292328
Number of changes on loop 463 is 1291663
Number of changes on loop 464 is 1290534
Number of changes on loop 465 is 1289785
Number of changes on loop 466 is 1288629
Number of changes on loop 467 is 1287772
Number of changes on loop 468 is 1288172
Number of changes on loop 469 is 1288087
Number of changes on loop 470 is 1288186
Number of changes on loop 471 is 1287176
Number of changes on loop 472 is 1286570
Number of changes on loop 473 is 1286434
Number of changes on loop 474 is 1285867
Number of changes on loop 475 is 1284871
Number of changes on loop 476 is 1284029
Number of changes on loop 477 is 1282955
Number of changes on loop 478 is 1281551
Number of changes on loop 479 is 1281103
Number of changes on loop 480 is 1280155
Number of changes on loop 481 is 1279220
Number of changes on loop 482 is 1278366
Number of changes on loop 483 is 1278119
Number of changes on loop 484 is 1277309
Number of changes on loop 485 is 1276542
Number of changes on loop 486 is 1276432
Number of changes on loop 487 is 1276249
Number of changes on loop 488 is 1275695
Number of changes on loop 489 is 1275011
Number of changes on loop 490 is 1274228
Number of changes on loop 491 is 1273993
Number of changes on loop 492 is 1273427
Number of changes on loop 493 is 1272693
Number of changes on loop 494 is 1272627
Number of changes on loop 495 is 1271986
Number of changes on loop 496 is 1271018
Number of changes on loop 497 is 1270840
Number of changes on loop 498 is 1269614
Number of changes on loop 499 is 1268013
Number of changes on loop 500 is 1267363
Number of changes on loop 501 is 1266851
Number of changes on loop 502 is 1266739
Number of changes on loop 503 is 1266068
Number of changes on loop 504 is 1265729
Number of changes on loop 505 is 1265266
Number of changes on loop 506 is 1264284
Number of changes on loop 507 is 1264085
Number of changes on loop 508 is 1264071
Number of changes on loop 509 is 1263378
Number of changes on loop 510 is 1262543
Number of changes on loop 511 is 1261331
Number of changes on loop 512 is 1260382
Number of changes on loop 513 is 1260155
Number of changes on loop 514 is 1259028
Number of changes on loop 515 is 1258894
Number of changes on loop 516 is 1257878
Number of changes on loop 517 is 1257085
Number of changes on loop 518 is 1256162
Number of changes on loop 519 is 1256092
Number of changes on loop 520 is 1255510
Number of changes on loop 521 is 1255183
Number of changes on loop 522 is 1254403
Number of changes on loop 523 is 1253804
Number of changes on loop 524 is 1252866
Number of changes on loop 525 is 1252520
Number of changes on loop 526 is 1252167
Number of changes on loop 527 is 1251280
Number of changes on loop 528 is 1250589
Number of changes on loop 529 is 1249729
Number of changes on loop 530 is 1248743
Number of changes on loop 531 is 1248171
Number of changes on loop 532 is 1247470
Number of changes on loop 533 is 1246880
Number of changes on loop 534 is 1246357
Number of changes on loop 535 is 1246373
Number of changes on loop 536 is 1245291
Number of changes on loop 537 is 1244131
Number of changes on loop 538 is 1243277
Number of changes on loop 539 is 1242753
Number of changes on loop 540 is 1242666
Number of changes on loop 541 is 1242774
Number of changes on loop 542 is 1242782
Number of changes on loop 543 is 1242452
Number of changes on loop 544 is 1241497
Number of changes on loop 545 is 1240495
Number of changes on loop 546 is 1239463
Number of changes on loop 547 is 1238798
Number of changes on loop 548 is 1237879
Number of changes on loop 549 is 1237057
Number of changes on loop 550 is 1236628
Number of changes on loop 551 is 1236034
Number of changes on loop 552 is 1235569
Number of changes on loop 553 is 1234972
Number of changes on loop 554 is 1234920
Number of changes on loop 555 is 1234083
Number of changes on loop 556 is 1233188
Number of changes on loop 557 is 1232266
Number of changes on loop 558 is 1232020
Number of changes on loop 559 is 1231345
Number of changes on loop 560 is 1230596
Number of changes on loop 561 is 1229834
Number of changes on loop 562 is 1228840
Number of changes on loop 563 is 1227945
Number of changes on loop 564 is 1227576
Number of changes on loop 565 is 1227446
Number of changes on loop 566 is 1227380
Number of changes on loop 567 is 1226770
Number of changes on loop 568 is 1225910
Number of changes on loop 569 is 1224847
Number of changes on loop 570 is 1223184
Number of changes on loop 571 is 1222237
Number of changes on loop 572 is 1221601
Number of changes on loop 573 is 1220600
Number of changes on loop 574 is 1219623
Number of changes on loop 575 is 1219465
Number of changes on loop 576 is 1218562
Number of changes on loop 577 is 1218187
Number of changes on loop 578 is 1218164
Number of changes on loop 579 is 1217593
Number of changes on loop 580 is 1216786
Number of changes on loop 581 is 1216140
Number of changes on loop 582 is 1215887
Number of changes on loop 583 is 1215392
Number of changes on loop 584 is 1215027
Number of changes on loop 585 is 1214191
Number of changes on loop 586 is 1213308
Number of changes on loop 587 is 1212461
Number of changes on loop 588 is 1211751
Number of changes on loop 589 is 1210530
Number of changes on loop 590 is 1209849
Number of changes on loop 591 is 1209381
Number of changes on loop 592 is 1208768
Number of changes on loop 593 is 1208370
Number of changes on loop 594 is 1208091
Number of changes on loop 595 is 1207448
Number of changes on loop 596 is 1206101
Number of changes on loop 597 is 1205416
Number of changes on loop 598 is 1205024
Number of changes on loop 599 is 1204058
Number of changes on loop 600 is 1203404
Number of changes on loop 601 is 1203141
Number of changes on loop 602 is 1202938
Number of changes on loop 603 is 1202488
Number of changes on loop 604 is 1201336
Number of changes on loop 605 is 1200521
Number of changes on loop 606 is 1199450
Number of changes on loop 607 is 1198804
Number of changes on loop 608 is 1198322
Number of changes on loop 609 is 1197712
Number of changes on loop 610 is 1197583
Number of changes on loop 611 is 1196771
Number of changes on loop 612 is 1196429
Number of changes on loop 613 is 1196200
Number of changes on loop 614 is 1195119
