Rho (density): 0.300000
Map width/height: 1000
Seed: 1564
Maximum number of clusters: 400
Data file: map.dat
PGM file: map.pgm
rho = 0.300000, actual density = 0.299961
Number of changes on loop 429 is 523585
Number of changes on loop 430 is 523480
Number of changes on loop 431 is 522738
Number of changes on loop 432 is 522130
Number of changes on loop 433 is 521567
Number of changes on loop 434 is 520958
Number of changes on loop 435 is 520587
Number of changes on loop 436 is 520355
Number of changes on loop 437 is 520406
Number of changes on loop 438 is 520301
Number of changes on loop 439 is 519301
Number of changes on loop 440 is 519459
Number of changes on loop 441 is 519136
Number of changes on loop 442 is 518057
Number of changes on loop 443 is 517099
Number of changes on loop 444 is 516980
Number of changes on loop 445 is 516305
Number of changes on loop 446 is 516221
Number of changes on loop 447 is 515042
Number of changes on loop 448 is 514560
Number of changes on loop 449 is 514426
Number of changes on loop 450 is 513907
Number of changes on loop 451 is 513569
Number of changes on loop 452 is 513481
Number of changes on loop 453 is 513037
Number of changes on loop 454 is 512701
Number of changes on loop 455 is 512322
Number of changes on loop 456 is 511834
Number of changes on loop 457 is 511085
Number of changes on loop 458 is 510690
Number of changes on loop 459 is 510324
Number of changes on loop 460 is 510003
Number of changes on loop 461 is 509257
Number of changes on loop 462 is 508877
Number of changes on loop 463 is 508494
Number of changes on loop 464 is 508102
Number of changes on loop 465 is 507500
Number of changes on loop 466 is 507609
Number of changes on loop 467 is 507649
Number of changes on loop 468 is 507025
Number of changes on loop 469 is 506742
Number of changes on loop 470 is 506243
Number of changes on loop 471 is 505454
Number of changes on loop 472 is 504612
Number of changes on loop 473 is 503828
Number of changes on loop 474 is 503360
Number of changes on loop 475 is 503136
Number of changes on loop 476 is 503302
Number of changes on loop 477 is 502818
Number of changes on loop 478 is 502053
Number of changes on loop 479 is 501092
Number of changes on loop 480 is 500229
Number of changes on loop 481 is 500019
Number of changes on loop 482 is 499691
Number of changes on loop 483 is 499199
Number of changes on loop 484 is 499214
Number of changes on loop 485 is 498659
Number of changes on loop 486 is 498026
Number of changes on loop 487 is 498024
Number of changes on loop 488 is 497366
Number of changes on loop 489 is 497039
Number of changes on loop 490 is 496238
Number of changes on loop 491 is 495645
Number of changes on loop 492 is 495776
Number of changes on loop 493 is 495717
Number of changes on loop 494 is 494521
Number of changes on loop 495 is 494089
Number of changes on loop 496 is 493887
Number of changes on loop 497 is 493178
Number of changes on loop 498 is 492952
Number of changes on loop 499 is 492496
Number of changes on loop 500 is 491901
Number of changes on loop 501 is 491420
Number of changes on loop 502 is 490413
Number of changes on loop 503 is 489819
Number of changes on loop 504 is 488752
Number of changes on loop 505 is 488782
Number of changes on loop 506 is 488607
Number of changes on loop 507 is 487979
Number of changes on loop 508 is 487434
Number of changes on loop 509 is 487174
Number of changes on loop 510 is 486465
Number of changes on loop 511 is 485990
Number of changes on loop 512 is 484992
Number of changes on loop 513 is 484785
Number of changes on loop 514 is 484523
Number of changes on loop 515 is 484048
Number of changes on loop 516 is 483776
Number of changes on loop 517 is 483762
Number of changes on loop 518 is 483354
Number of changes on loop 519 is 482463
Number of changes on loop 520 is 481632
Number of changes on loop 521 is 481478
Number of changes on loop 522 is 480976
Number of changes on loop 523 is 480709
Number of changes on loop 524 is 480162
Number of changes on loop 525 is 480468
Number of changes on loop 526 is 479789
Number of changes on loop 527 is 479728
Number of changes on loop 528 is 478828
Number of changes on loop 529 is 478234
Number of changes on loop 530 is 477860
Number of changes on loop 531 is 477060
Number of changes on loop 532 is 476775
Number of changes on loop 533 is 475657
Number of changes on loop 534 is 475153
Number of changes on loop 535 is 474832
Number of changes on loop 536 is 474675
Number of changes on loop 537 is 474410
Number of changes on loop 538 is 474309
Number of changes on loop 539 is 473807
Number of changes on loop 540 is 473113
Number of changes on loop 541 is 472700
Number of changes on loop 542 is 472179
Number of changes on loop 543 is 471638
Number of changes on loop 544 is 470817
Number of changes on loop 545 is 470112
Number of changes on loop 546 is 470009
Number of changes on loop 547 is 469461
Number of changes on loop 548 is 469378
Number of changes on loop 549 is 469077
Number of changes on loop 550 is 468586
Number of changes on loop 551 is 468018
Number of changes on loop 552 is 467791
Number of changes on loop 553 is 467080
Number of changes on loop 554 is 466666
Number of changes on loop 555 is 466023
Number of changes on loop 556 is 465474
Number of changes on loop 557 is 465284
Number of changes on loop 558 is 464589
Number of changes on loop 559 is 463745
Number of changes on loop 560 is 463482
Number of changes on loop 561 is 462871
Number of changes on loop 562 is 462623
Number of changes on loop 563 is 462300
Number of changes on loop 564 is 461896
Number of changes on loop 565 is 460948
Number of changes on loop 566 is 460518
Number of changes on loop 567 is 460195
Number of changes on loop 568 is 459718
Number of changes on loop 569 is 459706
Number of changes on loop 570 is 459392
Number of changes on loop 571 is 458590
Number of changes on loop 572 is 457802
Number of changes on loop 573 is 457234
Number of changes on loop 574 is 456337
Number of changes on loop 575 is 456154
Number of changes on loop 576 is 455518
Number of changes on loop 577 is 455121
Number of changes on loop 578 is 455055
Number of changes on loop 579 is 454626
Number of changes on loop 580 is 454353
Number of changes on loop 581 is 453803
Number of changes on loop 582 is 453251
Number of changes on loop 583 is 452602
Number of changes on loop 584 is 452182
Number of changes on loop 585 is 451465
Number of changes on loop 586 is 450946
Number of changes on loop 587 is 450668
Number of changes on loop 588 is 449999
Number of changes on loop 589 is 449223
Number of changes on loop 590 is 449013
Number of changes on loop 591 is 448317
Number of changes on loop 592 is 447636
Number of changes on loop 593 is 447457
Number of changes on loop 594 is 447514
Number of changes on loop 595 is 446918
Number of changes on loop 596 is 445968
Number of changes on loop 597 is 445257
Number of changes on loop 598 is 444452
Number of changes on loop 599 is 444133
Number of changes on loop 600 is 443953
Number of changes on loop 601 is 443598
Number of changes on loop 602 is 443068
Number of changes on loop 603 is 442343
Number of changes on loop 604 is 441083
Number of changes on loop 605 is 441208
Number of changes on loop 606 is 440619
Number of changes on loop 607 is 440042
Number of changes on loop 608 is 440097
Number of changes on loop 609 is 439579
Number of changes on loop 610 is 438974
Number of changes on loop 611 is 438589
Number of changes on loop 612 is 437969
Number of changes on loop 613 is 437122
Number of changes on loop 614 is 436731
Number of changes on loop 615 is 436398
Number of changes on loop 616 is 436339
Number of changes on loop 617 is 435850
Number of changes on loop 618 is 435001
Number of changes on loop 619 is 434660
Number of changes on loop 620 is 433893
Number of changes on loop 621 is 433490
Number of changes on loop 622 is 433205
Number of changes on loop 623 is 432566
Number of changes on loop 624 is 432042
Number of changes on loop 625 is 432079
Number of changes on loop 626 is 431378
Number of changes on loop 627 is 431283
Number of changes on loop 628 is 430728
Number of changes on loop 629 is 429894
Number of changes on loop 630 is 429645
Number of changes on loop 631 is 428902
Number of changes on loop 632 is 428028
Number of changes on loop 633 is 427769
Number of changes on loop 634 is 427246
Number of changes on loop 635 is 426527
Number of changes on loop 636 is 426388
Number of changes on loop 637 is 425739
Number of changes on loop 638 is 424724
Number of changes on loop 639 is 424393
Number of changes on loop 640 is 423847
Number of changes on loop 641 is 423784
Number of changes on loop 642 is 423410
Number of changes on loop 643 is 423181
Number of changes on loop 644 is 422649
Number of changes on loop 645 is 422377
Number of changes on loop 646 is 421886
Number of changes on loop 647 is 421021
Number of changes on loop 648 is 420085
Number of changes on loop 649 is 419224
Number of changes on loop 650 is 418916
Number of changes on loop 651 is 418388
Number of changes on loop 652 is 417917
Number of changes on loop 653 is 417191
Number of changes on loop 654 is 416638
Number of changes on loop 655 is 415911
Number of changes on loop 656 is 415896
Number of changes on loop 657 is 415723
Number of changes on loop 658 is 415744
Number of changes on loop 659 is 415234
Number of changes on loop 660 is 414641
Number of changes on loop 661 is 414289
Number of changes on loop 662 is 413327
Number of changes on loop 663 is 412951
Number of changes on loop 664 is 412379
Number of changes on loop 665 is 411480
Number of changes on loop 666 is 410755
Number of changes on loop 667 is 410232
Number of changes on loop 668 is 409850
Number of changes on loop 669 is 409536
Number of changes on loop 670 is 408837
Number of changes on loop 671 is 408173
Number of changes on loop 672 is 407790
Number of changes on loop 673 is 407362
Number of changes on loop 674 is 406727
Number of changes on loop 675 is 406162
Number of changes on loop 676 is 406050
Number of changes on loop 677 is 405738
Number of changes on loop 678 is 405135
Number of changes on loop 679 is 404585
Number of changes on loop 680 is 403831
Number of changes on loop 681 is 403591
Number of changes on loop 682 is 403051
Number of changes on loop 683 is 402209
Number of changes on loop 684 is 401544
Number of changes on loop 685 is 401043
Number of changes on loop 686 is 400888
Number of changes on loop 687 is 400729
Number of changes on loop 688 is 399951
Number of changes on loop 689 is 399007
Number of changes on loop 690 is 399159
Number of changes on loop 691 is 399013
Number of changes on loop 692 is 398032
Number of changes on loop 693 is 397410
Number of changes on loop 694 is 396348
Number of changes on loop 695 is 396114
Number of changes on loop 696 is 395611
Number of changes on loop 697 is 395119
Number of changes on loop 698 is 394171
Number of changes on loop 699 is 393990
