Rho (density): 0.300000
Map width/height: 2500
Seed: 1564
Maximum number of clusters: 400
Data file: map.dat
PGM file: map.pgm
rho = 0.300000, actual density = 0.299893
Number of changes on loop 326 is 4015515
Number of changes on loop 327 is 4014244
Number of changes on loop 328 is 4012911
Number of changes on loop 329 is 4012063
Number of changes on loop 330 is 4011464
Number of changes on loop 331 is 4010396
Number of changes on loop 332 is 4009343
Number of changes on loop 333 is 4008919
Number of changes on loop 334 is 4007254
Number of changes on loop 335 is 4006685
Number of changes on loop 336 is 4005348
Number of changes on loop 337 is 4004177
Number of changes on loop 338 is 4003442
Number of changes on loop 339 is 4002676
Number of changes on loop 340 is 4002546
Number of changes on loop 341 is 4001158
Number of changes on loop 342 is 4000209
Number of changes on loop 343 is 3999449
Number of changes on loop 344 is 3998856
Number of changes on loop 345 is 3997740
Number of changes on loop 346 is 3996905
Number of changes on loop 347 is 3995292
Number of changes on loop 348 is 3994232
Number of changes on loop 349 is 3993645
Number of changes on loop 350 is 3992904
Number of changes on loop 351 is 3992535
Number of changes on loop 352 is 3991758
Number of changes on loop 353 is 3990693
Number of changes on loop 354 is 3989811
Number of changes on loop 355 is 3988898
Number of changes on loop 356 is 3987474
Number of changes on loop 357 is 3986965
Number of changes on loop 358 is 3986419
Number of changes on loop 359 is 3984952
Number of changes on loop 360 is 3983689
Number of changes on loop 361 is 3982226
Number of changes on loop 362 is 3981341
Number of changes on loop 363 is 3981038
Number of changes on loop 364 is 3980782
Number of changes on loop 365 is 3980173
Number of changes on loop 366 is 3978449
Number of changes on loop 367 is 3977460
Number of changes on loop 368 is 3976384
Number of changes on loop 369 is 3975885
Number of changes on loop 370 is 3975202
Number of changes on loop 371 is 3973949
Number of changes on loop 372 is 3972646
Number of changes on loop 373 is 3971974
Number of changes on loop 374 is 3970715
Number of changes on loop 375 is 3970311
Number of changes on loop 376 is 3968622
Number of changes on loop 377 is 3967450
Number of changes on loop 378 is 3966980
Number of changes on loop 379 is 3966617
Number of changes on loop 380 is 3965784
Number of changes on loop 381 is 3964017
Number of changes on loop 382 is 3962267
Number of changes on loop 383 is 3961852
Number of changes on loop 384 is 3961121
Number of changes on loop 385 is 3959962
Number of changes on loop 386 is 3959761
Number of changes on loop 387 is 3959345
Number of changes on loop 388 is 3957730
Number of changes on loop 389 is 3956963
Number of changes on loop 390 is 3955402
Number of changes on loop 391 is 3955115
Number of changes on loop 392 is 3954169
Number of changes on loop 393 is 3953094
Number of changes on loop 394 is 3951983
Number of changes on loop 395 is 3951559
Number of changes on loop 396 is 3950877
Number of changes on loop 397 is 3949166
Number of changes on loop 398 is 3948513
Number of changes on loop 399 is 3947247
Number of changes on loop 400 is 3946571
Number of changes on loop 401 is 3944700
Number of changes on loop 402 is 3943582
Number of changes on loop 403 is 3942436
Number of changes on loop 404 is 3941924
Number of changes on loop 405 is 3941597
Number of changes on loop 406 is 3941308
Number of changes on loop 407 is 3940070
Number of changes on loop 408 is 3938722
Number of changes on loop 409 is 3937942
Number of changes on loop 410 is 3937020
Number of changes on loop 411 is 3936603
Number of changes on loop 412 is 3935608
Number of changes on loop 413 is 3934926
Number of changes on loop 414 is 3933655
Number of changes on loop 415 is 3932636
Number of changes on loop 416 is 3932275
Number of changes on loop 417 is 3930605
Number of changes on loop 418 is 3928397
Number of changes on loop 419 is 3927198
Number of changes on loop 420 is 3926590
Number of changes on loop 421 is 3926252
Number of changes on loop 422 is 3925664
Number of changes on loop 423 is 3924769
Number of changes on loop 424 is 3924433
Number of changes on loop 425 is 3923568
Number of changes on loop 426 is 3922579
Number of changes on loop 427 is 3920830
Number of changes on loop 428 is 3919745
Number of changes on loop 429 is 3918791
Number of changes on loop 430 is 3917870
Number of changes on loop 431 is 3917191
Number of changes on loop 432 is 3916046
Number of changes on loop 433 is 3915425
Number of changes on loop 434 is 3915157
Number of changes on loop 435 is 3913379
Number of changes on loop 436 is 3912704
Number of changes on loop 437 is 3911231
Number of changes on loop 438 is 3910152
Number of changes on loop 439 is 3909235
Number of changes on loop 440 is 3908045
Number of changes on loop 441 is 3907273
Number of changes on loop 442 is 3905762
Number of changes on loop 443 is 3906022
Number of changes on loop 444 is 3905313
Number of changes on loop 445 is 3903938
Number of changes on loop 446 is 3903352
Number of changes on loop 447 is 3902835
Number of changes on loop 448 is 3901507
Number of changes on loop 449 is 3899585
Number of changes on loop 450 is 3898307
Number of changes on loop 451 is 3896936
Number of changes on loop 452 is 3896656
Number of changes on loop 453 is 3896417
Number of changes on loop 454 is 3896021
Number of changes on loop 455 is 3894953
Number of changes on loop 456 is 3893891
Number of changes on loop 457 is 3893119
Number of changes on loop 458 is 3892162
Number of changes on loop 459 is 3890969
Number of changes on loop 460 is 3890055
Number of changes on loop 461 is 3888597
Number of changes on loop 462 is 3888035
Number of changes on loop 463 is 3886319
Number of changes on loop 464 is 3885195
Number of changes on loop 465 is 3884153
Number of changes on loop 466 is 3883622
Number of changes on loop 467 is 3881861
Number of changes on loop 468 is 3881479
Number of changes on loop 469 is 3880903
Number of changes on loop 470 is 3880525
Number of changes on loop 471 is 3879712
Number of changes on loop 472 is 3878228
Number of changes on loop 473 is 3876925
Number of changes on loop 474 is 3876032
Number of changes on loop 475 is 3875179
Number of changes on loop 476 is 3874865
Number of changes on loop 477 is 3873769
Number of changes on loop 478 is 3872499
Number of changes on loop 479 is 3871354
Number of changes on loop 480 is 3869892
Number of changes on loop 481 is 3869202
Number of changes on loop 482 is 3868940
Number of changes on loop 483 is 3867429
Number of changes on loop 484 is 3866731
Number of changes on loop 485 is 3865978
Number of changes on loop 486 is 3865159
Number of changes on loop 487 is 3863749
Number of changes on loop 488 is 3862763
Number of changes on loop 489 is 3862267
Number of changes on loop 490 is 3860937
Number of changes on loop 491 is 3859136
Number of changes on loop 492 is 3858338
Number of changes on loop 493 is 3857849
Number of changes on loop 494 is 3856282
Number of changes on loop 495 is 3855612
Number of changes on loop 496 is 3855189
Number of changes on loop 497 is 3854125
Number of changes on loop 498 is 3853872
Number of changes on loop 499 is 3852811
Number of changes on loop 500 is 3851820
Number of changes on loop 501 is 3851220
Number of changes on loop 502 is 3849500
Number of changes on loop 503 is 3848158
Number of changes on loop 504 is 3847402
Number of changes on loop 505 is 3846707
Number of changes on loop 506 is 3845598
Number of changes on loop 507 is 3844807
Number of changes on loop 508 is 3843604
Number of changes on loop 509 is 3842400
Number of changes on loop 510 is 3842811
Number of changes on loop 511 is 3840979
Number of changes on loop 512 is 3839920
Number of changes on loop 513 is 3839005
Number of changes on loop 514 is 3837351
Number of changes on loop 515 is 3836144
Number of changes on loop 516 is 3834942
Number of changes on loop 517 is 3834098
Number of changes on loop 518 is 3832230
Number of changes on loop 519 is 3830921
